EPOCH                                                       B_R                             B_T                             B_N
dd-mm-yyyy hh:mm:ss.mil.mic.nan                              nT                              nT                              nT
17-04-2024 01:57:30.000.002.235                         18.8164                        -15.2080                         25.9125
17-04-2024 01:58:29.999.998.658                         21.0801                        -11.7457                         26.2303
17-04-2024 01:59:29.999.995.082                         19.4402                        -10.8934                         28.0626
17-04-2024 02:00:30.000.001.564                         21.8145                        -2.20962                         27.7828
17-04-2024 02:01:29.999.997.988                         21.5506                        -3.55794                         27.6669
17-04-2024 02:02:30.000.004.470                         16.0833                        -8.59422                         31.1502
17-04-2024 02:03:30.000.000.894                         20.7593                        -9.15492                         27.4544
17-04-2024 02:04:29.999.997.317                         24.2478                        -2.16332                         26.0538
17-04-2024 02:05:30.000.003.799                         18.0156                        -3.97873                         30.1002
17-04-2024 02:06:30.000.000.223                         24.4717                       -0.255381                         25.7707
17-04-2024 02:07:29.999.996.647                         24.3177                        -3.28405                         25.5069
17-04-2024 02:08:30.000.003.129                         19.4053                        0.514371                         29.7229
17-04-2024 02:09:29.999.999.552                         20.5123                        -3.39990                         28.9542
17-04-2024 02:10:29.999.995.976                         16.0316                        -1.18486                         31.1030
17-04-2024 02:11:30.000.002.458                         32.7415                         7.05030                         8.53306
17-04-2024 02:12:29.999.998.882                         33.9625                       0.0392302                        0.183095
17-04-2024 02:13:29.999.995.306                         33.2228                        -5.53793                         1.83478
17-04-2024 02:14:30.000.001.788                         32.1605                        -3.40997                         8.58713
17-04-2024 02:15:29.999.998.211                         31.2498                        -9.18942                         9.04009
17-04-2024 02:16:30.000.004.693                         29.2023                        -14.1568                         7.83171
17-04-2024 02:17:30.000.001.117                         31.8191                        -5.42509                         9.19526
17-04-2024 02:18:29.999.997.541                         31.7537                       -0.805962                         13.1870
17-04-2024 02:19:30.000.004.023                         30.3262                        0.854945                         16.4907
17-04-2024 02:20:30.000.000.447                         25.1250                       0.0950545                         23.4818
17-04-2024 02:21:29.999.996.870                         26.2157                         1.00379                         22.6765
17-04-2024 02:22:30.000.003.352                         25.4296                         4.28731                         23.0022
17-04-2024 02:23:29.999.999.776                         26.9220                         2.58103                         21.6530
17-04-2024 02:24:29.999.996.200                         28.7928                         7.63819                         17.6839
17-04-2024 02:25:30.000.002.682                         29.4344                         18.9309                         4.38076
17-04-2024 02:26:29.999.999.105                         28.3334                         10.8918                         13.3437
17-04-2024 02:27:29.999.995.529                         23.7996                         15.5919                         19.9603
17-04-2024 02:28:30.000.002.011                         24.3207                         14.0894                         19.4686
17-04-2024 02:29:29.999.998.435                         7.35735                        -13.5605                         31.8308
17-04-2024 02:30:30.000.004.917                         18.7875                      -0.0298888                         29.7064
17-04-2024 02:31:30.000.001.341                         13.7780                         13.2765                         29.4721
17-04-2024 02:32:29.999.997.764                         23.5138                         11.3316                         25.1459
17-04-2024 02:33:30.000.004.246                         23.9687                         7.39808                         31.9875
17-04-2024 02:34:30.000.000.670                         16.1295                       0.0640712                         34.9458
17-04-2024 02:35:29.999.997.094                         18.1130                        0.423863                         35.5696
17-04-2024 02:36:30.000.003.576                         19.7634                         1.47419                         34.5698
17-04-2024 02:37:30.000.000.000                         17.7242                        -1.43179                         35.3440
17-04-2024 02:38:29.999.996.423                         20.1440                         3.21144                         34.9888
17-04-2024 02:39:30.000.002.905                         22.4723                         7.93187                         31.0419
17-04-2024 02:40:29.999.999.329                         16.4951                        -13.6551                         30.9807
17-04-2024 02:41:29.999.995.753                         15.6587                         1.71645                         34.1450
17-04-2024 02:42:30.000.002.235                         13.5059                        -2.48901                         35.2099
17-04-2024 02:43:29.999.998.658                         16.0147                      -0.0996957                         33.3077
17-04-2024 02:44:29.999.995.082                         24.6136                         11.8180                         24.8128
17-04-2024 02:45:30.000.001.564                         20.6300                         3.79468                         30.0309
17-04-2024 02:46:29.999.997.988                         24.1565                         5.73943                         25.7854
17-04-2024 02:47:30.000.004.470                         26.1483                         12.8684                         20.5699
17-04-2024 02:48:30.000.000.894                         24.5312                        -9.45424                         23.8343
17-04-2024 02:49:29.999.997.317                         31.9665                         6.38905                         12.7635
17-04-2024 02:50:30.000.003.799                         28.1297                         12.0339                         17.4597
17-04-2024 02:51:30.000.000.223                         24.5926                         7.87865                         23.9358
17-04-2024 02:52:29.999.996.647                         25.5467                         2.29860                         25.0891
17-04-2024 02:53:30.000.003.129                         18.5353                        -3.77744                         31.3805
17-04-2024 02:54:29.999.999.552                         19.3281                       -0.303543                         30.4301
17-04-2024 02:55:29.999.995.976                         23.2909                        -6.88008                         26.6283
17-04-2024 02:56:30.000.002.458                         23.2209                        -7.76443                         25.5779
17-04-2024 02:57:29.999.998.882                         29.9498                        -8.61334                         15.9678
17-04-2024 02:58:29.999.995.306                         29.9805                        -11.3733                         14.5110
17-04-2024 02:59:30.000.001.788                         24.0632                        -15.9170                         18.6967
17-04-2024 03:00:29.999.998.211                         26.4100                        -20.7694                         7.50494
17-04-2024 03:01:30.000.004.693                         20.9726                        -25.2211                        -1.29460
17-04-2024 03:02:30.000.001.117                         18.8452                        -5.11603                         27.1547
17-04-2024 03:03:29.999.997.541                         21.2788                        -23.0827                         10.5864
17-04-2024 03:04:30.000.004.023                         20.1757                        -12.9253                         22.8381
17-04-2024 03:05:30.000.000.447                         13.7333                        -12.1156                         28.8023
17-04-2024 03:06:29.999.996.870                         23.8245                        -21.3504                         7.67626
17-04-2024 03:07:30.000.003.352                         25.3493                        -17.2880                         13.1049
17-04-2024 03:08:29.999.999.776                         23.8137                        -22.8227                         4.46735
17-04-2024 03:09:29.999.996.200                         14.2238                        -19.3504                         23.1478
17-04-2024 03:10:30.000.002.682                         21.2515                        -25.4590                         4.49435
17-04-2024 03:11:29.999.999.105                         20.3429                        -26.9498                        0.251668
17-04-2024 03:12:29.999.995.529                         11.6263                        -1.40262                         33.3742
17-04-2024 03:13:30.000.002.011                         11.1652                        -4.39029                         33.0276
