EPOCH                                                       B_R                             B_T                             B_N
dd-mm-yyyy hh:mm:ss.mil.mic.nan                              nT                              nT                              nT
19-01-2024 01:52:30.000.000.000                        0.340116                        -3.72036                         3.29632
19-01-2024 01:53:29.999.996.423                      0.00343748                        -4.00495                         2.90378
19-01-2024 01:54:30.000.002.905                        0.278183                        -4.46924                         2.31197
19-01-2024 01:55:29.999.999.329                       -0.130021                        -4.71990                         2.22610
19-01-2024 01:56:29.999.995.753                       -0.259219                        -4.63680                         2.06413
19-01-2024 01:57:30.000.002.235                       -0.140747                        -4.70343                         1.65987
19-01-2024 01:58:29.999.998.658                        0.106279                        -4.75766                         1.71836
19-01-2024 01:59:29.999.995.082                        0.468213                        -4.63389                         1.84693
19-01-2024 02:00:30.000.001.564                         1.32695                        -4.51495                         1.20082
19-01-2024 02:01:29.999.997.988                       -0.391787                        -4.82078                         1.52904
19-01-2024 02:02:30.000.004.470                       -0.131376                        -4.80308                        0.584274
19-01-2024 02:03:30.000.000.894                       -0.721073                        -4.67133                        -1.12756
19-01-2024 02:04:29.999.997.317                       -0.381687                        -4.47127                        -2.12259
19-01-2024 02:05:30.000.003.799                        0.435425                        -4.09823                        -2.49345
19-01-2024 02:06:30.000.000.223                       -0.995824                        -4.35703                        -2.13632
19-01-2024 02:07:29.999.996.647                       -0.966558                        -4.39448                        -2.11826
19-01-2024 02:08:30.000.003.129                        -1.06274                        -4.27381                        -2.41816
19-01-2024 02:09:29.999.999.552                        -1.18952                        -3.58490                        -3.32875
19-01-2024 02:10:29.999.995.976                        0.145731                        -3.21878                         3.59675
19-01-2024 02:11:30.000.002.458                        0.197835                        -2.49576                         4.05493
19-01-2024 02:12:29.999.998.882                       0.0661803                        -3.53301                         3.18623
19-01-2024 02:13:29.999.995.306                        0.518827                        -3.46569                         3.14519
19-01-2024 02:14:30.000.001.788                       -0.384032                        -3.62917                         3.05346
19-01-2024 02:15:29.999.998.211                       -0.459939                        -3.69842                         3.17071
19-01-2024 02:16:30.000.004.693                       -0.382537                        -4.17290                         2.44549
19-01-2024 02:17:30.000.001.117                       -0.285030                        -4.10624                         2.82769
19-01-2024 02:18:29.999.997.541                       -0.761643                        -4.43707                         1.68976
19-01-2024 02:19:30.000.004.023                       -0.363009                        -4.60622                         1.34851
19-01-2024 02:20:30.000.000.447                      -0.0155652                        -5.03646                       -0.470163
19-01-2024 02:21:29.999.996.870                       0.0454941                        -4.89192                       -0.216257
19-01-2024 02:22:30.000.003.352                        0.157601                        -4.87327                       -0.274279
19-01-2024 02:23:29.999.999.776                     -0.00851939                        -4.83242                        0.298220
19-01-2024 02:24:29.999.996.200                       -0.733814                        -4.67537                        0.827539
19-01-2024 02:25:30.000.002.682                      -0.0240972                        -4.63214                        0.901094
19-01-2024 02:26:29.999.999.105                        -1.12236                        -4.49710                        0.819111
19-01-2024 02:27:29.999.995.529                      -0.0168801                        -4.63695                         1.15298
19-01-2024 02:28:30.000.002.011                        0.518323                        -4.45712                         1.64958
19-01-2024 02:29:29.999.998.435                        0.583770                        -4.65272                        0.815383
19-01-2024 02:30:30.000.004.917                     -0.00542250                        -4.81401                       -0.370291
19-01-2024 02:31:30.000.001.341                        0.586917                        -4.67971                       -0.750617
19-01-2024 02:32:29.999.997.764                       -0.195005                        -4.84892                        0.303501
19-01-2024 02:33:30.000.004.246                        0.128523                        -4.82271                       -0.231936
19-01-2024 02:34:30.000.000.670                        0.238019                        -4.89944                       -0.129140
19-01-2024 02:35:29.999.997.094                        -2.33520                        -1.82474                         3.42432
19-01-2024 02:36:30.000.003.576                        -1.36209                        -2.97783                         2.93018
19-01-2024 02:37:30.000.000.000                        -1.55390                        -3.20508                         1.94975
19-01-2024 02:38:29.999.996.423                        -1.78707                        -3.01276                         2.37847
19-01-2024 02:39:30.000.002.905                        -1.60614                        -4.22479                         1.34401
19-01-2024 02:40:29.999.999.329                        -1.50369                        -4.30105                        0.886236
19-01-2024 02:41:29.999.995.753                        -1.04566                        -4.47396                         1.29350
19-01-2024 02:42:30.000.002.235                       -0.440171                        -3.94229                         1.76689
19-01-2024 02:43:29.999.998.658                       -0.103277                        -1.45046                         4.21578
19-01-2024 02:44:29.999.995.082                        0.365692                        -2.96358                         3.11225
19-01-2024 02:45:30.000.001.564                        0.314202                        -2.74249                         3.20492
19-01-2024 02:46:29.999.997.988                        0.553346                        -4.20916                       -0.894297
19-01-2024 02:47:30.000.004.470                        0.832730                        -4.16471                        0.581277
19-01-2024 02:48:30.000.000.894                         1.30750                        -3.64446                       -0.317433
19-01-2024 02:49:29.999.997.317                       -0.545181                        -3.97943                         1.52582
19-01-2024 02:50:30.000.003.799                       -0.454353                        -4.82123                        0.329000
19-01-2024 02:51:30.000.000.223                       -0.515393                        -4.70697                        0.273734
19-01-2024 02:52:29.999.996.647                        0.410582                        -3.82548                         1.62201
19-01-2024 02:53:30.000.003.129                       0.0408277                        -4.78872                        0.297443
19-01-2024 02:54:29.999.999.552                        0.166727                        -4.43658                         1.29645
19-01-2024 02:55:29.999.995.976                        0.391786                        -4.63795                       -0.206868
19-01-2024 02:56:30.000.002.458                         1.08110                        -4.69858                        0.540442
19-01-2024 02:57:29.999.998.882                        0.327805                        -4.71654                        -1.09647
19-01-2024 02:58:29.999.995.306                       0.0594533                        -4.70960                       -0.630916
19-01-2024 02:59:30.000.001.788                        -1.06671                        -4.44909                        -1.49847
19-01-2024 03:00:29.999.998.211                       -0.321383                        -4.68634                        -1.28416
19-01-2024 03:01:30.000.004.693                       -0.954105                        -4.29536                        -2.24332
19-01-2024 03:02:30.000.001.117                        -1.75895                        -3.30050                        -3.05686
19-01-2024 03:03:29.999.997.541                         1.03683                        -2.96611                       -0.658145
19-01-2024 03:04:30.000.004.023                         1.01516                        -2.61244                        -1.83297
19-01-2024 03:05:30.000.000.447                       -0.369756                        -3.77214                        -2.78837
19-01-2024 03:06:29.999.996.870                        0.312427                        -3.70999                        -3.07841
19-01-2024 03:07:30.000.003.352                        0.535200                        -4.02288                        -1.92426
19-01-2024 03:08:29.999.999.776                        0.897029                        -4.15843                       -0.115471
19-01-2024 03:09:29.999.996.200                         2.12303                        -2.75205                        -2.60418
19-01-2024 03:10:30.000.002.682                         1.45772                        -3.94783                       -0.412834
19-01-2024 03:11:29.999.999.105                      0.00175707                       -0.411734                         4.56096
19-01-2024 03:12:29.999.995.529                        0.133359                       -0.327589                         4.42548
19-01-2024 03:13:30.000.002.011                        0.440306                       -0.702984                         4.43273
19-01-2024 03:14:29.999.998.435                      0.00731483                         2.73492                         3.59231
19-01-2024 03:15:30.000.004.917                       0.0564238                         1.97381                         4.17236
19-01-2024 03:16:30.000.001.341                      -0.0357716                         3.16828                         3.42462
19-01-2024 03:17:29.999.997.764                       0.0185047                         1.82156                         4.34557
19-01-2024 03:18:30.000.004.246                        0.301637                         2.19021                         4.19039
19-01-2024 03:19:30.000.000.670                        0.196624                         2.65013                         3.94991
19-01-2024 03:20:29.999.997.094                       -0.140964                         2.34948                         4.12083
