EPOCH                                                       B_R                             B_T                             B_N
dd-mm-yyyy hh:mm:ss.mil.mic.nan                              nT                              nT                              nT
06-01-2024 22:21:30.000.000.223                         4.16828                       -0.810427                         1.27644
06-01-2024 22:22:29.999.996.647                         4.22589                       -0.789045                        0.768718
06-01-2024 22:23:30.000.003.129                         4.16156                        -1.01758                        0.262566
06-01-2024 22:24:29.999.999.552                         4.19660                        -1.25919                        0.211678
06-01-2024 22:25:29.999.995.976                         3.98708                       -0.777431                         1.39346
06-01-2024 22:26:30.000.002.458                         4.14529                       -0.726531                         1.03853
06-01-2024 22:27:29.999.998.882                         4.03306                       -0.409325                         1.41205
06-01-2024 22:28:29.999.995.306                         3.92509                        0.913678                         1.55299
06-01-2024 22:29:30.000.001.788                         4.36828                       -0.524329                        0.977869
06-01-2024 22:30:29.999.998.211                         3.93741                        -1.50597                         1.69837
06-01-2024 22:31:30.000.004.693                         3.62623                        0.852490                         2.63608
06-01-2024 22:32:30.000.001.117                         3.76542                        0.478009                         2.50440
06-01-2024 22:33:29.999.997.541                         3.64819                         1.15593                         2.07194
06-01-2024 22:34:30.000.004.023                         3.62748                        -2.03602                         1.07131
06-01-2024 22:35:30.000.000.447                         3.68654                        -1.37240                         1.59504
06-01-2024 22:36:29.999.996.870                         3.84198                        -1.51306                         1.33590
06-01-2024 22:37:30.000.003.352                         4.28553                        0.641355                        0.487667
06-01-2024 22:38:29.999.999.776                         4.33770                       -0.681808                       -0.162946
06-01-2024 22:39:29.999.996.200                         4.07434                        -1.04091                       -0.514009
06-01-2024 22:40:30.000.002.682                         3.69040                        -1.72626                       -0.461276
06-01-2024 22:41:29.999.999.105                         3.96975                        -1.15472                        0.101401
06-01-2024 22:42:29.999.995.529                         3.51967                        -1.94121                       -0.420839
06-01-2024 22:43:30.000.002.011                         3.67957                        -1.94726                        0.335267
06-01-2024 22:44:29.999.998.435                         3.42355                        -2.22035                        0.923289
06-01-2024 22:45:30.000.004.917                         3.91471                       -0.941136                        0.895539
06-01-2024 22:46:30.000.001.341                         3.92412                       -0.983814                        0.648504
06-01-2024 22:47:29.999.997.764                         3.00820                        -1.33510                         2.90102
06-01-2024 22:48:30.000.004.246                         3.48500                       -0.965067                         2.27196
06-01-2024 22:49:30.000.000.670                         3.69067                        -1.70802                         1.31240
06-01-2024 22:50:29.999.997.094                         3.79165                       -0.339546                         2.14068
06-01-2024 22:51:30.000.003.576                         4.04400                        -1.04756                         1.06596
06-01-2024 22:52:30.000.000.000                         4.26614                        0.386261                        0.597465
06-01-2024 22:53:29.999.996.423                         4.39130                       -0.122995                        0.598237
06-01-2024 22:54:30.000.002.905                         4.31403                       -0.200041                       0.0769085
06-01-2024 22:55:29.999.999.329                         4.37250                       -0.650333                       -0.489921
06-01-2024 22:56:29.999.995.753                         4.55457                       -0.261198                       -0.504634
06-01-2024 22:57:30.000.002.235                         4.47421                        -1.03522                        0.116495
06-01-2024 22:58:29.999.998.658                         4.16622                        -1.66109                      -0.0538784
06-01-2024 22:59:29.999.995.082                         3.70887                        -1.72801                         1.76376
06-01-2024 23:00:30.000.001.564                         3.60282                        -2.09396                         1.66163
06-01-2024 23:01:29.999.997.988                         3.68580                        -2.02061                         1.23763
06-01-2024 23:02:30.000.004.470                         3.73196                        -2.14408                        -1.40810
06-01-2024 23:03:30.000.000.894                         3.81188                        -2.23588                       -0.857745
06-01-2024 23:04:29.999.997.317                         3.89824                        -2.30701                       -0.326055
06-01-2024 23:05:30.000.003.799                         4.10471                        -1.43070                         1.23618
06-01-2024 23:06:30.000.000.223                         4.23615                        -1.05783                         1.24374
06-01-2024 23:07:29.999.996.647                         4.07009                        -1.64407                         1.19491
06-01-2024 23:08:30.000.003.129                         4.25717                        -1.61315                         1.12764
06-01-2024 23:09:29.999.999.552                         4.46717                        0.152818                         1.64519
06-01-2024 23:10:29.999.995.976                         4.42740                       -0.703780                         1.47883
06-01-2024 23:11:30.000.002.458                         4.25498                      -0.0755697                         1.77634
06-01-2024 23:12:29.999.998.882                         3.97107                        0.248506                         2.38898
06-01-2024 23:13:29.999.995.306                         3.62830                       -0.784604                         2.78598
06-01-2024 23:14:30.000.001.788                         3.90611                       -0.448512                         2.48799
06-01-2024 23:15:29.999.998.211                         3.57074                        -2.35105                         2.16721
06-01-2024 23:16:30.000.004.693                         3.85998                        -1.83635                         2.01921
06-01-2024 23:17:30.000.001.117                         3.52092                      0.00716361                         3.04541
06-01-2024 23:18:29.999.997.541                         2.99675                         1.21381                         3.07456
06-01-2024 23:19:30.000.004.023                         3.07672                        0.964039                         3.01023
06-01-2024 23:20:30.000.000.447                         2.79087                         1.94815                         2.93295
06-01-2024 23:21:29.999.996.870                         3.03706                         1.25137                         3.20550
06-01-2024 23:22:30.000.003.352                         2.75849                         1.88172                         3.21067
06-01-2024 23:23:29.999.999.776                         2.84321                        0.586604                         3.47336
06-01-2024 23:24:29.999.996.200                         2.80293                       -0.103417                         3.53307
06-01-2024 23:25:30.000.002.682                         3.27973                        0.471913                         3.16708
06-01-2024 23:26:29.999.999.105                         3.12026                       -0.169941                         3.27947
06-01-2024 23:27:29.999.995.529                         2.45516                       -0.526013                         3.69141
06-01-2024 23:28:30.000.002.011                         1.48390                       -0.228063                         4.18167
06-01-2024 23:29:29.999.998.435                         2.25860                       -0.111613                         3.92440
06-01-2024 23:30:30.000.004.917                         1.36715                       -0.480985                         4.27564
06-01-2024 23:31:30.000.001.341                         1.77857                       -0.361124                         4.12554
06-01-2024 23:32:29.999.997.764                         1.55526                        0.588911                         4.26201
06-01-2024 23:33:30.000.004.246                        0.835100                        0.629977                         4.51812
06-01-2024 23:34:30.000.000.670                         1.27890                         1.55562                         4.20942
06-01-2024 23:35:29.999.997.094                         2.77570                        0.918540                         3.41192
06-01-2024 23:36:30.000.003.576                         3.82874                        0.226541                         2.47474
06-01-2024 23:37:29.999.999.999                         3.81639                        -1.02387                         2.16400
06-01-2024 23:38:29.999.996.423                         3.81696                        -1.58654                         1.92574
06-01-2024 23:39:30.000.002.905                         3.41496                       -0.211564                         3.01258
06-01-2024 23:40:29.999.999.329                         3.85062                       -0.383209                         2.42449
06-01-2024 23:41:29.999.995.753                         4.13294                        -1.17208                         1.75965
06-01-2024 23:42:30.000.002.235                         3.94445                        -1.50670                         1.55622
06-01-2024 23:43:29.999.998.658                         3.39943                        -2.11021                         1.45603
06-01-2024 23:44:29.999.995.082                         3.21043                        -2.26337                         2.20962
06-01-2024 23:45:30.000.001.564                         3.15200                        -3.01532                        0.436915
06-01-2024 23:46:29.999.997.988                         3.08080                        -2.89792                         1.10560
06-01-2024 23:47:30.000.004.470                         2.78639                        -3.37640                         1.43036
06-01-2024 23:48:30.000.000.894                         3.11482                        -3.00078                         1.40036
06-01-2024 23:49:29.999.997.317                         1.92558                        -3.07960                         2.83464
06-01-2024 23:50:30.000.003.799                         2.61587                        -2.57290                         2.24804
06-01-2024 23:51:30.000.000.223                         4.40799                       -0.946326                        -1.28785
06-01-2024 23:52:29.999.996.647                         4.38961                        -1.28494                        -1.29702
06-01-2024 23:53:30.000.003.129                         4.25907                        -1.59383                       -0.882198
06-01-2024 23:54:29.999.999.552                         4.37314                        -1.43284                       -0.778329
06-01-2024 23:55:29.999.995.976                         4.36032                        -1.20073                       -0.908927
06-01-2024 23:56:30.000.002.458                         4.13507                        -1.34446                       -0.814498
06-01-2024 23:57:29.999.998.882                         4.03391                        -1.91514                       -0.739408
06-01-2024 23:58:29.999.995.306                         4.16089                        -1.56503                       -0.862310
06-01-2024 23:59:30.000.001.788                         3.90160                        -1.74168                        -1.29858
07-01-2024 00:00:29.999.998.211                         4.02882                        -1.87289                       -0.616032
07-01-2024 00:01:30.000.004.693                         3.11956                        -2.62935                        -1.82199
07-01-2024 00:02:30.000.001.117                         4.17359                        -1.79983                      -0.0511041
07-01-2024 00:03:29.999.997.541                         4.20781                        -1.64335                      0.00813121
07-01-2024 00:04:30.000.004.023                         4.00740                        -2.12135                        0.198427
07-01-2024 00:05:30.000.000.447                         3.95555                        -1.82976                         1.56509
07-01-2024 00:06:29.999.996.870                         3.85642                        -2.18003                        0.699157
07-01-2024 00:07:30.000.003.352                         3.89028                        -2.25386                        0.829697
07-01-2024 00:08:29.999.999.776                         3.98772                        -1.33971                         1.76642
07-01-2024 00:09:29.999.996.200                         3.28993                        -2.46943                         2.01446
07-01-2024 00:10:30.000.002.682                         3.87602                        -1.98682                       -0.820022
07-01-2024 00:11:29.999.999.105                         4.01036                        -1.42666                        -1.17902
07-01-2024 00:12:29.999.995.529                         3.72363                        -2.43693                         1.17714
07-01-2024 00:13:30.000.002.011                         4.20283                        -1.55641                        0.685210
07-01-2024 00:14:29.999.998.435                         4.07308                        -1.59336                         1.00535
07-01-2024 00:15:30.000.004.917                         4.04561                        -1.83713                         1.16990
07-01-2024 00:16:30.000.001.341                         3.93483                        -1.25250                         1.71518
07-01-2024 00:17:29.999.997.764                         3.67992                        -2.04103                         1.73269
07-01-2024 00:18:30.000.004.246                         3.42852                        -2.82977                        0.961629
07-01-2024 00:19:30.000.000.670                         3.90209                        -2.43385                       -0.585830
07-01-2024 00:20:29.999.997.094                         3.60460                        -3.01455                       -0.557771
07-01-2024 00:21:30.000.003.576                         4.05615                        -1.63552                        -1.46709
07-01-2024 00:22:30.000.000.000                         3.69244                        -2.89206                        0.272125
07-01-2024 00:23:29.999.996.423                         3.78444                        -1.94566                        -1.82249
07-01-2024 00:24:30.000.002.905                        0.848178                        -4.39286                       -0.165807
07-01-2024 00:25:29.999.999.329                         2.50108                        -3.64084                        -1.23591
07-01-2024 00:26:29.999.995.753                         2.92023                        -2.99811                        -2.00053
07-01-2024 00:27:30.000.002.235                         3.30387                        -1.74877                        -2.73550
07-01-2024 00:28:29.999.998.658                         2.32273                        -2.06325                        -3.34584
07-01-2024 00:29:29.999.995.082                         1.99047                       -0.618121                        -4.11463
07-01-2024 00:30:30.000.001.564                         2.17633                        -2.10046                        -3.29010
07-01-2024 00:31:29.999.997.988                         1.82886                        -1.50588                        -3.66904
07-01-2024 00:32:30.000.004.470                         2.43365                        -2.14567                        -3.16220
07-01-2024 00:33:30.000.000.894                         2.19660                        -2.48676                        -3.14505
07-01-2024 00:34:29.999.997.317                         1.58493                        -4.00660                        0.567902
07-01-2024 00:35:30.000.003.799                         2.28879                        -3.44639                        -1.12141
07-01-2024 00:36:30.000.000.223                         2.89992                        -3.19447                        0.731321
07-01-2024 00:37:29.999.996.647                         3.57792                        -1.68653                         1.60477
07-01-2024 00:38:30.000.003.129                         2.66166                        0.950969                         3.03059
07-01-2024 00:39:29.999.999.552                         2.00160                        0.672069                         3.48615
07-01-2024 00:40:29.999.995.976                         2.88500                        0.766646                         2.78243
07-01-2024 00:41:30.000.002.458                         3.74382                        0.395165                        0.741915
07-01-2024 00:42:29.999.998.882                         3.56767                       -0.134802                        -1.45863
07-01-2024 00:43:29.999.995.306                         3.80592                       -0.627293                        0.207498
07-01-2024 00:44:30.000.001.788                         1.87036                        0.998971                         2.92793
07-01-2024 00:45:29.999.998.211                         2.65506                        -2.30708                        -1.01225
07-01-2024 00:46:30.000.004.693                         3.45815                        -1.06111                         1.54016
07-01-2024 00:47:30.000.001.117                         2.56286                       0.0943229                         3.12732
07-01-2024 00:48:29.999.997.541                         2.75165                       -0.727825                         3.03602
07-01-2024 00:49:30.000.004.023                         2.96736                       -0.524590                         2.90207
07-01-2024 00:50:30.000.000.447                         2.73286                        0.182340                         3.34428
07-01-2024 00:51:29.999.996.870                         2.81980                        0.247297                         3.21630
07-01-2024 00:52:30.000.003.352                         2.08891                         1.66357                         3.36388
07-01-2024 00:53:29.999.999.776                         2.83542                         1.35938                         3.40584
07-01-2024 00:54:29.999.996.200                         1.99364                         1.90496                         3.79456
07-01-2024 00:55:30.000.002.682                        -1.01990                         3.70544                         2.61193
07-01-2024 00:56:29.999.999.105                        -1.30993                         3.26656                         3.12041
07-01-2024 00:57:29.999.995.529                        -1.54562                         3.14032                         3.21285
07-01-2024 00:58:30.000.002.011                        -1.37463                         2.91351                         3.56750
07-01-2024 00:59:29.999.998.435                       -0.915465                         2.82970                         3.80015
07-01-2024 01:00:30.000.004.917                       -0.706758                         3.01817                         3.60866
07-01-2024 01:01:30.000.001.341                       -0.554729                         1.88144                         4.18516
07-01-2024 01:02:29.999.997.764                       0.0594373                         2.40304                         3.93412
07-01-2024 01:03:30.000.004.246                         1.12038                         1.87400                         4.03820
07-01-2024 01:04:30.000.000.670                        0.672723                         2.36832                         3.74643
07-01-2024 01:05:29.999.997.094                        0.309038                         1.59975                         4.28149
07-01-2024 01:06:30.000.003.576                        0.665668                         1.35313                         4.33573
07-01-2024 01:07:30.000.000.000                        0.902295                         1.64728                         4.25400
07-01-2024 01:08:29.999.996.423                         1.53901                         1.58481                         3.79588
07-01-2024 01:09:30.000.002.905                         1.19769                         1.32605                         3.95914
